phi,theta,Value,image
0,2,14,prs_images/20550.vti_2.prs.png
0,3,14,prs_images/20550.vti_3.prs.png
0,4,14,prs_images/20550.vti_4.prs.png
0,5,14,prs_images/20550.vti_5.prs.png
1,0,14,prs_images/20550.vti_6.prs.png
1,1,14,prs_images/20550.vti_7.prs.png
1,2,14,prs_images/20550.vti_8.prs.png
1,3,14,prs_images/20550.vti_9.prs.png
1,4,14,prs_images/20550.vti_10.prs.png
1,5,14,prs_images/20550.vti_11.prs.png
2,0,14,prs_images/20550.vti_12.prs.png
2,1,14,prs_images/20550.vti_13.prs.png
2,2,14,prs_images/20550.vti_14.prs.png
2,3,14,prs_images/20550.vti_15.prs.png
2,4,14,prs_images/20550.vti_16.prs.png
2,5,14,prs_images/20550.vti_17.prs.png
3,0,14,prs_images/20550.vti_18.prs.png
3,1,14,prs_images/20550.vti_19.prs.png
3,2,14,prs_images/20550.vti_20.prs.png
3,3,14,prs_images/20550.vti_21.prs.png
3,4,14,prs_images/20550.vti_22.prs.png
3,5,14,prs_images/20550.vti_23.prs.png
0,0,15,prs_images/22010.vti_0.prs.png
0,1,15,prs_images/22010.vti_1.prs.png
0,2,15,prs_images/22010.vti_2.prs.png
0,3,15,prs_images/22010.vti_3.prs.png
0,4,15,prs_images/22010.vti_4.prs.png
0,5,15,prs_images/22010.vti_5.prs.png
1,0,15,prs_images/22010.vti_6.prs.png
1,1,15,prs_images/22010.vti_7.prs.png
1,2,15,prs_images/22010.vti_8.prs.png
1,3,15,prs_images/22010.vti_9.prs.png
1,4,15,prs_images/22010.vti_10.prs.png
1,5,15,prs_images/22010.vti_11.prs.png
2,0,15,prs_images/22010.vti_12.prs.png
2,1,15,prs_images/22010.vti_13.prs.png
2,2,15,prs_images/22010.vti_14.prs.png
2,3,15,prs_images/22010.vti_15.prs.png
2,4,15,prs_images/22010.vti_16.prs.png
2,5,15,prs_images/22010.vti_17.prs.png
3,0,15,prs_images/22010.vti_18.prs.png
3,1,15,prs_images/22010.vti_19.prs.png
3,2,15,prs_images/22010.vti_20.prs.png
3,3,15,prs_images/22010.vti_21.prs.png
3,4,15,prs_images/22010.vti_22.prs.png
3,5,15,prs_images/22010.vti_23.prs.png
