phi,theta,Value,image
3,5,20,tev_images/27970.vti_23.png
0,0,21,tev_images/28245.vti_0.png
0,1,21,tev_images/28245.vti_1.png
0,2,21,tev_images/28245.vti_2.png
0,3,21,tev_images/28245.vti_3.png
0,4,21,tev_images/28245.vti_4.png
0,5,21,tev_images/28245.vti_5.png
1,0,21,tev_images/28245.vti_6.png
1,1,21,tev_images/28245.vti_7.png
1,2,21,tev_images/28245.vti_8.png
1,3,21,tev_images/28245.vti_9.png
1,4,21,tev_images/28245.vti_10.png
1,5,21,tev_images/28245.vti_11.png
2,0,21,tev_images/28245.vti_12.png
2,1,21,tev_images/28245.vti_13.png
2,2,21,tev_images/28245.vti_14.png
2,3,21,tev_images/28245.vti_15.png
2,4,21,tev_images/28245.vti_16.png
2,5,21,tev_images/28245.vti_17.png
3,0,21,tev_images/28245.vti_18.png
3,1,21,tev_images/28245.vti_19.png
3,2,21,tev_images/28245.vti_20.png
3,3,21,tev_images/28245.vti_21.png
3,4,21,tev_images/28245.vti_22.png
3,5,21,tev_images/28245.vti_23.png
0,0,22,tev_images/29693.vti_0.png
0,1,22,tev_images/29693.vti_1.png
0,2,22,tev_images/29693.vti_2.png
0,3,22,tev_images/29693.vti_3.png
0,4,22,tev_images/29693.vti_4.png
0,5,22,tev_images/29693.vti_5.png
1,0,22,tev_images/29693.vti_6.png
1,1,22,tev_images/29693.vti_7.png
1,2,22,tev_images/29693.vti_8.png
1,3,22,tev_images/29693.vti_9.png
1,4,22,tev_images/29693.vti_10.png
1,5,22,tev_images/29693.vti_11.png
2,0,22,tev_images/29693.vti_12.png
2,1,22,tev_images/29693.vti_13.png
2,2,22,tev_images/29693.vti_14.png
2,3,22,tev_images/29693.vti_15.png
2,4,22,tev_images/29693.vti_16.png
2,5,22,tev_images/29693.vti_17.png
3,0,22,tev_images/29693.vti_18.png
3,1,22,tev_images/29693.vti_19.png
3,2,22,tev_images/29693.vti_20.png
3,3,22,tev_images/29693.vti_21.png
3,4,22,tev_images/29693.vti_22.png
3,5,22,tev_images/29693.vti_23.png
0,0,23,tev_images/30068.vti_0.png
0,1,23,tev_images/30068.vti_1.png
0,2,23,tev_images/30068.vti_2.png
0,3,23,tev_images/30068.vti_3.png
0,4,23,tev_images/30068.vti_4.png
0,5,23,tev_images/30068.vti_5.png
1,0,23,tev_images/30068.vti_6.png
1,1,23,tev_images/30068.vti_7.png
1,2,23,tev_images/30068.vti_8.png
1,3,23,tev_images/30068.vti_9.png
1,4,23,tev_images/30068.vti_10.png
1,5,23,tev_images/30068.vti_11.png
2,0,23,tev_images/30068.vti_12.png
2,1,23,tev_images/30068.vti_13.png
